iteration,throughput(MBs),iteration_time,time_diff,iter_persec
6,"2,011688232","5,356469631","5,356305122","1,120452964"
7,"2,088262939","5,09404254","5,093876123","1,374310256"
7,"1,963317871","5,065144062","5,064962626","1,382312169"
8,"2,424906921","13,65865397","13,65824318","0,5857524405"
8,"0,3080596924","14,63595462","9,570504665","0,1044965566"
8,"0,2329803467","14,66558909","9,57147193","0,1044840252"
8,"0,5839294434","15,23803568","9,879445076","0,2024537948"
16,"2,205918884","25,54001689","11,88109851","0,6733825716"
16,"2,027677917","26,51663876","11,88045526","0,6734029644"
16,"2,120491028","26,54557538","11,87980556","0,6734343735"
16,"2,230334473","27,11774755","11,87950826","0,6734537827"
28,"2,973680115","38,44192004","12,90184236","0,9301555863"
28,"2,997467041","39,44745827","12,90182066","0,9301315728"
28,"2,903079224","39,4194355","12,90250707","0,9300863511"
28,"3,207801819","40,0205977","12,9026432","0,9300859042"
36,"2,189019775","50,31997538","11,87797976","0,6735568757"
36,"2,2284729","51,29708123","11,87742543","0,6735844996"
36,"2,137411499","51,89755344","11,87677336","0,6736071764"
36,"2,124845886","51,32792521","11,88015246","0,673436428"
48,"3,325035095","63,30271411","12,9824667","0,9243907981"
48,"3,213995361","64,27936244","12,9822197","0,924422411"
48,"3,507119751","64,30832696","12,9802103","0,9245150042"
48,"3,362112427","64,8797574","12,98199272","0,9243879799"
56,"2,092338562","75,13588405","11,83304524","0,6761047558"
56,"2,143917847","76,14207673","11,83351469","0,6760912555"
56,"2,053082275","76,11320829","11,83377337","0,6760534276"
56,"2,274719238","76,71354103","11,83371449","0,6760582087"
68,"2,961306763","88,03375387","12,89758873","0,9304478526"
68,"2,99132843","89,01077962","12,89731789","0,9304795199"
68,"3,236439514","89,03987765","12,89774132","0,9304275564"
68,"3,185174561","89,61130953","12,89768744","0,9304309792"
76,"2,010566711","99,84897423","11,81492233","0,6771374137"
76,"2,103265381","100,8256249","11,8147831","0,6771579116"
76,"2,28568573","100,8545487","11,81443024","0,6771659744"
76,"2,130302429","101,4264629","11,8150847","0,677126892"
88,"3,268258667","112,8956954","13,04656601","0,9198537881"
88,"3,230914307","114,4726794","13,04604125","0,9198806698"
