iteration,iteration_time,throughput(MBs)
0,0.0,0.0
9,5.431719064712524,4.216094970703125
19,10.872255980968475,4.787353515625
29,16.339470982551575,4.3743743896484375
39,21.878173828125,4.381614685058594
49,27.33038431406021,5.0908355712890625
59,32.948172211647034,4.950477600097656
69,38.39183062314987,4.410514831542969
79,43.83509284257889,4.79681396484375
89,49.29751056432724,4.516670227050781
99,54.71535563468933,4.3266448974609375
109,60.19878524541855,4.8019866943359375
119,65.8079651594162,4.5355224609375
129,71.34316152334213,4.177284240722656
139,76.95812702178955,4.7832489013671875
149,82.41168630123138,4.689582824707031
159,87.8631945848465,5.002845764160156
169,93.44729310274124,4.362785339355469
179,99.00050443410873,4.540374755859375
189,104.4522140622139,4.439216613769531
199,109.98859465122223,4.5430908203125
209,115.47649931907654,4.118263244628906
219,120.98314625024796,4.406829833984375
229,126.47270369529724,4.7350311279296875
239,132.0157026052475,4.7789306640625
249,137.4579529762268,4.237556457519531
259,142.8604702949524,4.014030456542969
269,148.38592970371246,4.33990478515625
279,153.93368017673492,4.293205261230469
289,159.41290867328644,4.2763824462890625
299,164.88804161548615,4.485572814941406
309,170.41804122924805,4.416313171386719
319,175.90021312236786,4.08941650390625
329,181.30614471435547,4.550834655761719
339,186.85833024978638,4.420166015625
349,192.27266150712967,4.2471771240234375
359,197.76197665929794,4.6424102783203125
369,203.27980488538742,4.3616180419921875
379,208.85196459293365,5.071464538574219
389,214.33869940042496,4.1944122314453125
399,219.85176998376846,5.060569763183594
409,225.41382879018784,4.328399658203125
419,230.95634895563126,4.322906494140625
429,236.5411252975464,3.9011001586914062
439,241.9423544406891,3.749114990234375
449,247.3881512284279,4.28167724609375
459,252.94772982597354,3.8730545043945312
469,258.4292104244232,4.329109191894531
479,264.0539799928665,4.654510498046875
489,269.5350860953331,4.228759765625
499,274.9424231648445,4.579032897949219
509,280.5981233716011,4.662254333496094
519,286.0046514868736,4.56646728515625
529,291.4322555065155,4.549415588378906
539,297.0019953250885,4.031990051269531
549,302.54344975948334,4.861198425292969
559,307.9503992795944,4.128013610839844
569,313.32960653305054,4.108558654785156
579,318.73636347055435,4.45703125
589,324.23433232307434,4.770195007324219
599,329.63033360242844,4.402374267578125
609,335.00440323352814,4.0417327880859375
619,340.54796808958054,4.7770843505859375
629,345.94970738887787,4.471458435058594
639,351.4943481683731,4.702522277832031
649,356.9964092373848,4.5130767822265625
659,362.4104698896408,3.9876251220703125
669,367.9980194568634,3.842193603515625
679,373.48065143823624,4.1721649169921875
689,378.90429693460464,4.7847900390625
699,384.30645924806595,4.4557342529296875
709,389.7351025938988,4.686187744140625
719,395.2233915925026,4.6845245361328125
729,400.5944745540619,3.4191665649414062
739,406.0744366645813,4.914131164550781
749,411.5435866713524,4.56951904296875
759,417.02028518915176,4.616615295410156
769,422.5193202495575,4.509513854980469
779,427.90678173303604,4.3056793212890625
789,433.4505246281624,4.9347686767578125
799,438.8306574821472,4.207130432128906
809,444.31545597314835,4.777183532714844
819,449.7801990509033,4.573211669921875
829,455.27782928943634,4.251548767089844
839,460.7287218570709,4.2706451416015625
849,466.22949051857,4.5091094970703125
859,471.755523622036,4.640113830566406
869,477.2176153063774,4.90081787109375
879,482.67914640903473,4.6875457763671875
889,488.2434722185135,4.872505187988281
899,493.7191486954689,4.934837341308594
