epoch,iteration,throughput(MBs),iteration_time,time_diff,iter_persec
1,3,14.991850068059817,5.53094744682312,5.336620092391968, 0.562194628736277,80.0
1,3,14.971058809304388,5.509204864501953,5.344160556793213, 0.5614151562271407,80.0
1,3,14.939984813541114,5.557056665420532,5.355230331420898, 0.5602497298466972,80.0
1,3,14.938494255316032,5.55223822593689,5.355728387832642, 0.5601936842139005,80.0
1,3,14.937623071648428,5.545908689498901,5.356088399887085, 0.5601611644310888,80.0
1,3,14.931836602936542,5.560177326202393,5.3581836223602295, 0.5599440719517367,80.0
1,3,14.930319103540969,5.5249412059783936,5.359063386917114, 0.5598875642865145,80.0
1,3,14.394778032669214,5.746339559555054,5.5579833984375, 0.5398045467450497,80.0
1,8,15.659570528016708,10.661424160003662,5.109086036682129, 0.978723751791805,80.0
1,8,15.657065681370824,10.670180797576904,5.109782457351685, 0.9785671986864912,80.0
1,8,17.47461871304081,10.659999132156372,5.150678634643555, 0.9708130944815521,90.0
1,8,17.457323853866345,10.70190954208374,5.155861854553223, 0.9698519531411861,90.0
1,8,17.239419391621297,10.752108335494995,5.221036672592163, 0.9577465277582733,90.0
1,8,17.2354869144715,10.779598712921143,5.2224133014678955, 0.9575283186624176,90.0
1,8,15.332260810854775,10.743529796600342,5.21839451789856, 0.958267132627033,80.0
2,7,22.861574274396155,16.9518461227417,5.6866912841796875, 1.2310083100664972,130.0
2,7,21.099128407740363,16.992531299591064,5.687849283218384, 1.2307832127770502,120.0
2,7,22.49136443619888,17.045267343521118,5.7803966999053955, 1.211074518707225,130.0
2,7,24.20784122034032,17.082982301712036,5.78357195854187, 1.2103926598085468,140.0
2,7,22.463630359207468,17.079983234405518,5.787531852722168, 1.209580843750645,130.0
2,7,20.716390742542014,17.088324069976807,5.79311466217041, 1.2084569722250793,120.0
2,7,24.14410348630782,17.104008197784424,5.798993110656738, 1.207206117416319,140.0
2,7,22.41913197432525,17.093268156051636,5.7991623878479, 1.2071848731842607,130.0
3,6,19.989665605807392,23.44257092475891,5.003024578094482, 1.1993813653836558,100.0
3,6,25.954335067019326,23.421218872070312,5.0092267990112305, 1.1978932430037639,130.0
3,6,23.949573642075563,23.45742106437683,5.011015176773071, 1.197479422847616,120.0
3,6,23.95052638992255,23.454416036605835,5.01091742515564, 1.1975273452232904,120.0
3,7,22.510883476371106,24.18739628791809,5.77537727355957, 1.2121254957266157,130.0
3,7,22.506928834684427,24.2281813621521,5.77639102935791, 1.2119119528340454,130.0
3,7,20.786920024479276,24.216078519821167,5.77314829826355, 1.2125706352355632,120.0
3,7,22.48285374735313,24.234970331192017,5.782805681228638, 1.210616299970279,130.0
4,6,25.902138512574822,30.597138166427612,5.019221067428589, 1.195483940661094,130.0
4,6,23.907605000967102,30.5572407245636,5.019588232040405, 1.1953807610751739,120.0
4,6,23.895033546901953,30.587944507598877,5.022603750228882, 1.194753265536174,120.0
4,6,25.882138052747848,30.561044216156006,5.023158550262451, 1.1945608982538005,130.0
4,6,23.88695920090985,30.60197639465332,5.024417400360107, 1.1943490937007255,120.0
4,6,21.867027453894007,30.602885484695435,5.030771970748901, 1.192747743462935,110.0
4,6,23.80322729602111,30.61058735847473,5.041904926300049, 1.1901623216641657,120.0
4,7,22.352460146085175,31.38371253013611,5.816230058670044, 1.203594649290815,130.0
5,6,21.999376886850797,37.73860716819763,5.000491380691528, 1.1999668702689226,110.0
5,6,25.959186254064132,37.756839752197266,5.00812292098999, 1.1981170872230198,130.0
5,7,24.60132000253721,38.39953684806824,5.691047191619873, 1.2300667731463015,140.0
5,7,22.83869390669678,38.435333013534546,5.69233512878418, 1.22977649537929,130.0
5,7,21.023408399856898,38.44437122344971,5.708286762237549, 1.2263664120421973,120.0
5,7,22.441858799648017,38.541446685791016,5.79315185546875, 1.2084083783493675,130.0
5,7,22.407050069769877,38.541629791259766,5.802281379699707, 1.2065340602751544,130.0
5,7,24.06362440452317,38.52699518203735,5.818400144577026, 1.2031821077437503,140.0
6,6,23.733931020882583,44.94415521621704,5.05642557144165, 1.1866973344675082,120.0
6,6,25.726459355994336,44.931806325912476,5.053375005722046, 1.1873753273137209,130.0
6,6,27.658259948828675,44.910181760787964,5.062256336212158, 1.185354946955631,140.0
6,6,25.666682859577712,44.94081521034241,5.065437316894531, 1.1846171357107371,130.0
6,7,19.146083649382245,45.624776124954224,5.745849370956421, 1.2183877986131604,110.0
6,7,20.82224963036856,45.61134314537048,5.763468503952026, 1.2146320826786856,120.0
6,7,23.919975646703175,45.73589277267456,5.853295803070068, 1.195999659288231,140.0
6,7,23.91881325402793,45.742714643478394,5.853591680526733, 1.1959419780036435,140.0
7,6,23.698519500775696,52.12267541885376,5.063968181610107, 1.1849269792941437,120.0
7,6,23.696936231951746,52.16320443153381,5.064218997955322, 1.184847202088954,120.0
7,6,27.587430090341392,52.16330695152283,5.075153827667236, 1.182319265643336,140.0
7,6,21.642357328946698,52.14241409301758,5.083316087722778, 1.1804932146965161,110.0
7,7,18.776530752815777,52.94792628288269,5.858625173568726, 1.1948706737201713,110.0
7,7,22.153442812429294,52.967180252075195,5.868657827377319, 1.1928786107477731,130.0
7,7,20.443819862578,52.956172943115234,5.86994743347168, 1.192556691485223,120.0
7,7,23.819296377320672,52.97145080566406,5.877849102020264, 1.190965446900534,140.0
8,6,21.8836587485697,59.3553032875061,5.027051687240601, 1.1936551326628466,110.0
8,6,25.804383237500296,59.36876654624939,5.038439989089966, 1.1909725485675149,130.0
8,6,23.78292649700304,59.36465334892273,5.046026945114136, 1.189147223891678,120.0
8,7,20.933003273975885,60.05072093009949,5.733104228973389, 1.221092873357084,120.0
8,7,19.177085264383848,60.059393882751465,5.736541032791138, 1.2203608336873653,110.0
8,7,22.31403261528214,60.11457180976868,5.8264219760894775, 1.2015255706935113,130.0
8,7,20.58039221843762,60.14679217338562,5.831200838088989, 1.2005237630089738,120.0
8,7,25.664429455734474,60.13339447975159,5.845186471939087, 1.1976744005800375,150.0
9,6,17.816045880568083,66.54878640174866,5.05192756652832, 1.1877373450057056,90.0
9,6,21.728959937667167,66.53250312805176,5.063164949417114, 1.1852171129857112,110.0
9,6,21.704909148388456,66.56746625900269,5.068354845046997, 1.1839048037158104,110.0
9,6,23.656133334442547,66.54297494888306,5.073631525039673, 1.1828080009441473,120.0
9,6,23.63281970453416,66.5779926776886,5.078037738800049, 1.1816416510230856,120.0
9,6,21.642661896688384,66.59235215187073,5.083141803741455, 1.1805104366558794,110.0
9,7,19.035556332131407,67.28864097595215,5.779141187667847, 1.2113544344084552,110.0
9,7,23.82556774149047,67.38029336929321,5.876401901245117, 1.1912790637755932,140.0
10,6,23.75077312534887,73.78403902053833,5.0529584884643555, 1.1875397770329637,120.0
