epoch,iteration,throughput(MBs),iteration_time,time_diff,iter_persec
1,6,24.286530844669617,5.8512864112854,5.765209674835205, 1.0408519676545316,140.0
1,6,24.204962374885582,5.862742900848389,5.78429388999939, 1.0373559151980547,140.0
1,13,25.47089546463881,11.348754167556763,5.497378826141357, 1.2735451046848645,140.0
1,13,25.552785898613845,11.341902732849121,5.479106426239014, 1.277639628518324,140.0
1,20,25.60337991046879,16.817084312438965,5.4682581424713135, 1.2801693862517123,140.0
1,20,25.571609644809627,16.817012310028076,5.47506308555603, 1.2785809276795799,140.0
1,27,23.08870838113315,22.014808416366577,5.19762921333313, 1.3468418782875862,120.0
1,27,25.020068245203124,22.01317858695984,5.196123838424683, 1.3472349385319855,130.0
1,33,19.35120312483131,27.18116593360901,5.167939186096191, 1.1610726160358693,100.0
1,33,20.84163587258911,27.29303812980652,5.278169393539429, 1.1368169643224173,110.0
1,40,25.55163952085141,32.77245593070984,5.4793665409088135, 1.2775826987511423,140.0
1,40,23.235075714129994,32.7764105796814,5.595183610916138, 1.2511197814129411,130.0
2,7,22.84846995865222,39.016982078552246,5.6944427490234375, 1.230303001859191,130.0
2,7,24.55366774039711,39.03096795082092,5.702028512954712, 1.2276837463659924,140.0
2,14,18.594939794268154,44.395179271698,5.378021955490112, 1.3016461895471438,100.0
2,14,23.71191309201775,44.51376461982727,5.482745409011841, 1.276795709011003,130.0
2,21,21.641485297390076,49.59689164161682,5.083085298538208, 1.3771859448092325,110.0
2,21,22.7360445212557,49.673377990722656,5.278146505355835, 1.326269683115983,120.0
2,28,21.898195996663997,55.07704472541809,5.480104684829712, 1.2773951555086946,120.0
2,28,20.074157702681042,55.1533887386322,5.479964017868042, 1.2774467883296,110.0
2,34,18.81107634657968,60.46978044509888,5.316337585449219, 1.12866503637129,100.0
2,34,18.492193897013088,60.48516035079956,5.408066987991333, 1.1095322697544616,100.0
3,7,26.301734910771216,71.24338698387146,5.703290224075317, 1.2274149115880506,150.0
3,7,22.79029607181152,71.23880624771118,5.704395771026611, 1.227170250112173,130.0
3,14,25.49040202859653,76.73601579666138,5.492578983306885, 1.274520710024752,140.0
3,14,23.646401891436266,76.73675560951233,5.497905015945435, 1.2732681806811712,130.0
3,21,20.325769382809533,82.14837574958801,5.412302017211914, 1.29345839353256,110.0
3,21,23.70290306696952,82.22154784202576,5.484745979309082, 1.2763106090031235,130.0
3,28,16.36663318367732,87.64775705337524,5.499314308166504, 1.2729607450707345,90.0
3,28,23.964540921909133,87.64651107788086,5.424909830093384, 1.290398640903226,130.0
3,36,23.725962769067994,93.5474681854248,5.900913715362549, 1.3557696845494187,140.0
3,36,23.691720417292007,93.55722332000732,5.9094157218933105, 1.3538128683836395,140.0
4,7,26.25681530633302,102.2831039428711,5.332193851470947, 1.3128412349471625,140.0
4,7,23.947786874435106,102.3858335018158,5.428818464279175, 1.2894966693930736,130.0
4,14,23.73950212047414,107.86221647262573,5.476318120956421, 1.2782812173328952,130.0
4,14,23.268070504457896,107.87048816680908,5.587323427200317, 1.252896585274262,130.0
4,21,21.07274388309444,113.08259773254395,5.220335960388184, 1.3409934050451093,110.0
4,21,24.84423562741068,113.10340237617493,5.232858657836914, 1.3377670214163901,130.0
4,28,20.49139997851255,118.47177076339722,5.368319749832153, 1.3039985858605598,110.0
4,28,25.499556365238213,118.57320666313171,5.490537643432617, 1.2749782058277455,140.0
4,35,21.80956526765609,124.07570385932922,5.502452373504639, 1.2722250265071002,120.0
4,35,23.182168956860576,124.07985758781433,5.608034372329712, 1.2482710076377186,130.0
5,7,22.64615096654684,134.25764346122742,5.299145698547363, 1.321025889114938,120.0
5,7,27.816116916314176,134.356627702713,5.3927648067474365, 1.2980857430529171,150.0
5,14,20.430246617988455,139.74108958244324,5.384418249130249, 1.3001070059565099,110.0
5,14,21.581679953351138,139.81818985939026,5.5604963302612305, 1.2589317084837992,120.0
5,21,20.071523820014455,145.2217559814453,5.480607509613037, 1.2772792330789517,110.0
5,21,22.18989697488378,145.22628164291382,5.408043384552002, 1.2944111704728112,120.0
5,28,24.714040316745745,150.48676371574402,5.260423421859741, 1.330756439273896,130.0
5,28,22.75137731053623,150.4964439868927,5.274642705917358, 1.3271640363981287,120.0
5,35,22.12481662894772,155.91081285476685,5.423990964889526, 1.2906145870198587,120.0
5,35,23.596982945251064,156.00589156150818,5.5093982219696045, 1.27060715888804,130.0
6,6,26.79827458564398,165.69111609458923,5.224483013153076, 1.1484979015556172,140.0
6,6,22.959795216098062,165.68763494491577,5.226783275604248, 1.1479901797479815,120.0
6,13,23.69901708928995,171.17347383499146,5.48579216003418, 1.2761015302981085,130.0
6,13,23.655366952218078,171.18708753585815,5.495916128158569, 1.2737511913165949,130.0
6,20,25.520575309142263,176.67314267158508,5.485995531082153, 1.2760290982042664,140.0
6,20,23.638047188478414,176.67339944839478,5.499856948852539, 1.2728182566081458,130.0
6,27,19.757452221426455,181.73508191108704,5.061638832092285, 1.383021981239125,100.0
6,27,21.629700986158305,181.75902247428894,5.085835218429565, 1.376435904474077,110.0
6,35,24.344576744720573,187.48615145683289,5.7510199546813965, 1.3911190748435145,140.0
6,35,24.41281693909511,187.49394989013672,5.734874486923218, 1.3950184587909435,140.0
7,7,24.920037668475825,197.59701108932495,5.618194580078125, 1.2460022535736788,140.0
7,7,26.225615821699748,197.70495080947876,5.719847202301025, 1.2238624798080244,150.0
7,14,21.555879228157764,203.27216458320618,5.567161560058594, 1.2574266114252213,120.0
7,14,22.88911263366704,203.2768943309784,5.679830312728882, 1.2324911459162406,130.0
