Time(s) CPU(%)  GPU(%)  Mem(GB) tps     DRd(kB/s)       Dwt(kB/s)
643s    19.7    99      46      8680.00 2037536.00             0.00
648s    19.0    98      47      8560.00 2028324.00             0.00
653s    25.4    99      46      8890.00 2031348.00             0.00
657s    24.6    97      46      9130.00 2026788.00             0.00
662s    17.3    99      46      5698.00 119248.00              0.00
667s    11.1    87      44      1149.00 526224.00              0.00
671s    16.3    100     46      8901.00 2014236.00             0.00
676s    6.1     87      47      462.00  95592.00               0.00
680s    5.7     87      47      480.00  37912.00               0.00
684s    6.2     87      47      7683.00 2034408.00             0.00
689s    31.2    98      47      8807.00 2027684.00             0.00
694s    23.7    100     47      8767.00 2029800.00             0.00
698s    22.4    99      46      2226.00 278628.00              0.00
703s    12.3    87      43      708.00  1252108.00             0.00
707s    19.6    100     47      8947.00 2024648.00             0.00
712s    23.7    99      47      8706.00 2041816.00             0.00
717s    23.1    95      46      8920.00 2031144.00             0.00
722s    25.7    97      45      8929.00 2039320.00             0.00
727s    21.0    99      45      9144.00 2042164.00             0.00
732s    24.9    98      47      9117.00 1283644.00             0.00
737s    18.4    96      45      56.00   1535604.00             0.00
743s    20.7    93      46      9230.69 2019211.88             0.00
748s    20.2    100     46      9384.00 2036844.00             0.00
754s    16.0    99      47      9092.00 2044276.00             0.00
760s    19.2    99      46      9140.00 2062420.00             0.00
767s    26.6    99      46      8840.00 2031344.00             0.00
773s    13.8    99      44      1234.00 542120.00              0.00
779s    16.6    100     46      9110.00 2037716.00             0.00
784s    28.8    98      45      8821.00 2040368.00             0.00
789s    18.6    99      45      9049.00 2052236.00             0.00
794s    21.3    99      45      8745.00 2027884.00             0.00
799s    17.6    99      44      8745.00 2041856.00             0.00
805s    34.3    99      46      50.00   769736.00              0.00
811s    16.0    99      44      4095.00 2043428.00             0.00
816s    22.4    93      47      8532.00 2029352.00             0.00
822s    22.8    94      46      8400.00 2044500.00             0.00
827s    20.1    88      45      8831.00 2039628.00             0.00
832s    22.1    100     45      8699.00 2032984.00             0.00
837s    33.1    100     45      9073.00 2043164.00             0.00
842s    18.5    99      45      2141.00 353324.00              0.00
852s    23.4    95      47      9127.00 2048780.00             0.00
856s    20.0    98      46      9037.00 2031708.00             0.00
863s    26.1    98      47      9051.00 2042252.00             0.00
869s    28.3    96      47      9122.00 2026592.00             0.00
875s    24.6    97      47      6338.00 13900.00               0.00
882s    9.9     100     45      1447.00 427912.00              0.00
886s    24.0    87      46      8947.00 2041616.00             0.00
890s    20.7    100     46      8694.00 2039240.00             0.00
896s    23.8    99      46      8625.00 2038572.00             0.00
902s    22.7    85      48      8677.00 2042604.00             0.00
907s    19.8    96      45      8791.00 2038420.00             0.00
913s    14.8    100     45      62.00   524136.00              0.00
918s    18.9    87      44      6234.00 2037940.00             0.00
923s    23.9    100     45      8692.00 2036120.00             0.00
928s    20.3    100     47      8664.00 2029748.00             0.00
934s    18.8    99      47      9016.00 2039800.00             0.00
939s    27.7    100     46      8721.00 2046348.00             0.00
944s    25.4    98      46      8983.00 2038316.00             0.00
950s    19.6    95      45      2445.00 265936.00              0.00
956s    12.6    100     45      9080.00 2050296.00             0.00
962s    22.6    99      48      8845.00 2042616.00             0.00
968s    27.3    88      47      8863.00 2032952.00             0.00
973s    20.0    93      45      8871.00 2027328.00             0.00
979s    18.2    99      46      8756.00 2044020.00             0.00
984s    19.8    94      47      1212.00 527188.00              0.00
995s    26.5    99      46      8884.00 2032908.00             0.00
1000s   24.8    98      47      8729.00 2044112.00             0.00
1006s   21.4    96      47      8751.00 2034020.00             0.00
1012s   23.9    100     46      8637.00 2038400.00             0.00
1017s   20.2    87      45      8571.00 2038776.00             0.00
1023s   14.5    95      44      2350.00 18852.00               0.00
1029s   20.7    100     46      8620.00 2052156.00             0.00
1033s   22.4    100     47      8819.00 2028400.00             0.00




