Time(s),CPU(%),GPU(%),Mem(GB),tps,DRd(kB/s),Dwt(kB/s),Read(GB/s),Write(GB/s)
517s,35.4,0,38,16785.00,798132.00,76.00,0.76,0.00
522s,42.0,98,38,11347.00,1265044.00,0.00,1.21,0.00
529s,34.9,0,38,5059.00,1336004.00,0.00,1.27,0.00
534s,43.9,98,37,10881.00,1388244.00,0.00,1.32,0.00
540s,34.9,98,38,60.00,584900.00,0.00,0.56,0.00
546s,33.4,0,36,18317.00,1288356.00,0.00,1.23,0.00
551s,42.4,98,37,11448.00,1419256.00,84.00,1.35,0.00
564s,31.6,97,37,7405.00,749448.00,0.00,0.71,0.00
570s,20.2,98,34,567.00,385376.00,0.00,0.37,0.00
576s,13.4,98,31,0.00,3712.00,0.00,0.00,0.00
582s,10.5,0,34,9099.00,1547140.00,0.00,1.48,0.00
586s,32.5,26,38,11207.00,1502840,0.00,1.43321990966797,0.00000136682501761243
592s,38.6,28,39,7862.00,1199636.00,0.00,1.14,0.00
597s,36.4,93,38,16709.00,1084760,0.00,1.03450775146484,0.000000986583472695198
603s,44.5,95,40,8177.00,1397768.00,92.00,1.33,0.00
610s,40.9,12,39,1001.00,259000.00,60.00,0.25,0.00
615s,11.6,85,32,66.00,1594292.00,40.00,1.52,0.00
619s,41.2,2,38,5791.00,1231712.00,80.00,1.17,0.00
624s,34.8,97,38,14638.00,1353203,0.96,1.29051494598389,0.00000123073095892323
631s,36.7,99,39,9058.00,1583132.00,0.00,1.51,0.00
636s,40.8,5,38,6457.00,1395224.00,0.00,1.33,0.00
647s,42.8,98,38,59.00,483488.00,0.00,0.46,0.00
653s,22.9,98,36,5067.00,1221456.00,0.00,1.16,0.00
659s,41.7,98,38,13369.00,710060.00,56,0.68,0.00
666s,37.5,98,39,7090.00,1984864.00,0.00,1.89,0.00
673s,36.1,0,40,4545.00,1702664.00,0.00,1.62,0.00
678s,43.2,98,40,8131.00,993372.00,0.00,0.95,0.00
685s,10.8,98,32,6615.00,1704464.00,0.00,1.63,0.00
692s,38.1,0,38,8922.00,1993988.00,0.00,1.90,0.00
697s,31.7,98,37,12479.00,583504.00,0,0.56,0.00
