epoch,accuracy,mean dice,l1 dice,l2 dice
5,0.15374334156513214,0.3074866831302643,1.06273073674501e-10
5,0.15374334156513214,0.3074866831302643,1.06273073674501e-10
5,0.15374334156513214,0.3074866831302643,1.06273073674501e-10
5,0.15374334156513214,0.3074866831302643,1.06273073674501e-10
10,0.2216748297214508,0.41150733828544617,0.03184233233332634
10,0.2216748297214508,0.41150733828544617,0.03184233233332634
10,0.2216748297214508,0.41150733828544617,0.03184233233332634
10,0.2216748297214508,0.41150733828544617,0.03184233233332634
15,0.2906654477119446,0.48917680978775024,0.09215407073497772
15,0.2906654477119446,0.48917680978775024,0.09215407073497772
15,0.2906654477119446,0.48917680978775024,0.09215407073497772
15,0.2906654477119446,0.48917680978775024,0.09215407073497772
