iteration,throughput(MBs),iteration_time,time_diff,iter_persec
4,20.0,5.343981504440308,5.255072832107544, 0.761208407893925
4,20.0,5.369216680526733,5.255067586898804, 0.7612098929968729
4,20.0,5.377537488937378,5.255037784576416, 0.7612158334666136
4,20.0,5.377578973770142,5.255131721496582, 0.7611996355435591
11,28.0,10.79446029663086,5.416891813278198, 1.2923110862685636
11,28.0,10.760922908782959,5.416897296905518, 1.292305682484519
11,28.0,10.786149024963379,5.416896104812622, 1.2923101761544018
11,28.0,10.79461407661438,5.4170098304748535, 1.292304374206756
18,28.0,16.5024311542511,5.741475343704224, 1.219269507095424
18,28.0,16.527717113494873,5.741524696350098, 1.2192703172385508
18,28.0,16.53629779815674,5.741653680801392, 1.2192771022295024
18,28.0,16.53760313987732,5.74311089515686, 1.219077128589281
6,28.0,23.924819707870483,5.454471588134766, 1.1000648083720561
6,28.0,23.950049877166748,5.455674409866333, 1.0998223122931592
6,28.0,23.9583957195282,5.455516576766968, 1.0998570647823662
6,28.0,23.95865511894226,5.455397367477417, 1.0999083563549676
13,28.0,29.37454581260681,5.449692249298096, 1.2845344779407322
13,28.0,29.408243656158447,5.449822425842285, 1.2845316679645367
13,28.0,29.408387422561646,5.449698448181152, 1.2845744371326497
13,28.0,29.40006184577942,5.4499735832214355, 1.2845075588740273
20,28.0,34.888972759246826,5.480679750442505, 1.2772838451227002
20,28.0,34.85544562339783,5.480862379074097, 1.277230391912696
20,28.0,34.88066554069519,5.480545520782471, 1.2773142409910803
20,28.0,34.88931608200073,5.480895280838013, 1.277265674974542
6,28.0,40.31972789764404,5.462254762649536, 1.0984769710632272
6,28.0,40.35338377952576,5.464066028594971, 1.0981257202600507
6,28.0,40.345144748687744,5.464087963104248, 1.0981271577830296
6,28.0,40.35366702079773,5.463994741439819, 1.0981694705617526
13,28.0,45.79239821434021,5.47222638130188, 1.2792447539211775
13,28.0,45.817769289016724,5.472356557846069, 1.2792391801716003
13,28.0,45.82608389854431,5.472371578216553, 1.2792365605260776
13,28.0,45.82615089416504,5.4724204540252686, 1.2792291475447577
19,24.0,50.85669779777527,5.030502080917358, 1.19278969088065
19,24.0,50.8231987953186,5.030761003494263, 1.1927354198497377
19,24.0,50.85679531097412,5.030677080154419, 1.1927653813707475
19,24.0,50.848695039749146,5.030919790267944, 1.1927362112667865
5,24.0,56.673566579818726,5.068713903427124, 0.9864920594085776
5,24.0,56.707125425338745,5.069859504699707, 0.9862726163737323
5,24.0,56.7072868347168,5.070227146148682, 0.9862096315271518
5,24.0,56.699074506759644,5.069857120513916, 0.9862945098981848
12,28.0,62.160672664642334,5.487056016921997, 1.27578252469743
12,28.0,62.194257497787476,5.4869372844696045, 1.2758175614913356
12,28.0,62.19432234764099,5.487141847610474, 1.2757823583881238
12,28.0,62.186338663101196,5.487208843231201, 1.275807471584402
19,28.0,67.69826865196228,5.5038957595825195, 1.271886577323089
19,28.0,67.68998003005981,5.503582715988159, 1.2719592562380644
19,28.0,67.69861602783203,5.504317045211792, 1.2718342360169237
19,28.0,67.66531896591187,5.504610776901245, 1.2718105461050973
6,28.0,73.96257829666138,5.485456705093384, 1.0938819942313251
6,28.0,73.95426630973816,5.4854395389556885, 1.0938863210919154
6,28.0,73.92905592918396,5.483609676361084, 1.094254895516102
6,28.0,73.96260976791382,5.485550880432129, 1.093866351251696
13,28.0,79.45697593688965,5.494360446929932, 1.2741102064939152
13,28.0,79.42359948158264,5.494514465332031, 1.274096439132955
13,28.0,79.45713353157043,5.494488000869751, 1.2741030186779825
13,28.0,79.44895505905151,5.494642734527588, 1.2740772537887903
19,24.0,84.55672001838684,5.099708795547485, 1.1766008061403601
19,24.0,84.54853343963623,5.09952974319458, 1.1766731496514655
19,24.0,84.556880235672,5.0996832847595215, 1.1766453114756121
19,24.0,84.52341032028198,5.099749565124512, 1.17662583653885
6,28.0,101.30560946464539,5.525059223175049, 1.0860336630498089
6,28.0,101.27208876609802,5.506069660186768, 1.089780132743995
6,28.0,101.2973563671112,5.54322624206543, 1.0824743611664016
6,28.0,101.305734872818,5.529258728027344, 1.085209648178919
13,28.0,106.82441711425781,5.5187695026397705, 1.2684693253829111
13,28.0,106.81617712974548,5.518779277801514, 1.2684915756713708
13,28.0,106.79095816612244,5.518836736679077, 1.2684778746624896
13,28.0,106.82453489303589,5.5187506675720215, 1.2685053317820423
20,28.0,112.33639430999756,5.511933326721191, 1.270031479859664
20,28.0,112.3281762599945,5.511959791183472, 1.2700395557632098
20,28.0,112.30295467376709,5.511960983276367, 1.2700373032899879
20,28.0,112.33660984039307,5.512049913406372, 1.2700227997513258
6,28.0,117.84670448303223,5.510074853897095, 1.0889799229660098
6,28.0,117.83843684196472,5.510039567947388, 1.088991750849269
6,28.0,117.84679245948792,5.509917497634888, 1.089024078566068
6,28.0,117.81327509880066,5.508609294891357, 1.0892872485626228
13,28.0,123.35181927680969,5.505072832107544, 1.2716190758661265
13,28.0,123.3518373966217,5.505020380020142, 1.2716352131060322
13,28.0,123.34358143806458,5.505081415176392, 1.2716293199368174
13,28.0,123.31838750839233,5.5050859451293945, 1.2716351580294314
20,28.0,128.87306761741638,5.521211385726929, 1.267901659108592
20,28.0,128.83957862854004,5.521167993545532, 1.2679155119372256
20,28.0,128.86480855941772,5.521169424057007, 1.2679152381629768
20,28.0,128.873229265213,5.5213422775268555, 1.267888682622763
6,28.0,134.34526252746582,5.503847599029541, 1.0901844805526597
6,28.0,134.3705232143402,5.505347013473511, 1.08989807783614
6,28.0,134.3788456916809,5.5052783489227295, 1.0899091232216147
6,28.0,134.37891364097595,5.505561113357544, 1.0898557392656731
13,28.0,139.91120791435242,5.532262086868286, 1.265365733278185
13,28.0,139.87774562835693,5.532422065734863, 1.2653462100999098
13,28.0,139.91130185127258,5.5324132442474365, 1.2653438106447101
13,28.0,139.9030077457428,5.5324225425720215, 1.2653477915639941
20,28.0,145.386146068573,5.508357524871826, 1.2708415042040389
20,28.0,145.41143584251404,5.508399724960327, 1.2708345732501136
20,28.0,145.41980361938477,5.508558750152588, 1.2708075102491954
20,28.0,145.4198136329651,5.508486270904541, 1.270826487232751
6,28.0,150.9190993309021,5.4990456104278564, 1.0911457795871844
6,28.0,150.9109148979187,5.499257326126099, 1.0911187661556925
6,28.0,150.88572645187378,5.497542142868042, 1.0914640331981564
6,28.0,150.91930270195007,5.499201536178589, 1.0911448806949209
13,28.0,156.44453811645508,5.525406122207642, 1.2669322753862067
13,28.0,156.44459295272827,5.525254964828491, 1.2669783091756233
13,28.0,156.41105914115906,5.525284767150879, 1.2669714749693097
13,28.0,156.4363934993744,5.52543044090271, 1.2669535970343058
20,28.0,161.92668986320496,5.51557993888855, 1.2691941763088908
20,28.0,161.9602301120758,5.515589237213135, 1.2691931887332621
20,28.0,161.96026468276978,5.515689373016357, 1.2691745896792868
20,28.0,161.95205187797546,5.515601873397827, 1.2692077830629023
6,28.0,167.49427103996277,5.533742904663086, 1.084317826351098
6,28.0,167.4607710838318,5.532395839691162, 1.0845846159694157
6,28.0,167.48601460456848,5.533754348754883, 1.0843203492323574
6,28.0,167.49431920051575,5.533789396286011, 1.0843132478187985
13,28.0,173.00872230529785,5.514415264129639, 1.2694561575813679
13,28.0,172.9752550125122,5.514453172683716, 1.2694585177700934
13,28.0,173.00889945030212,5.514549970626831, 1.269441283105531
13,28.0,173.0006194114685,5.5145792961120605, 1.2694402951453114
20,28.0,178.54597806930542,5.537219047546387, 1.2642312265387847
20,28.0,178.54613208770752,5.537188529968262, 1.2642474490065043
20,28.0,178.53783535957336,5.53717303276062, 1.2642522940524337
20,28.0,178.51397013664246,5.538655519485474, 1.2640665757197118
6,28.0,206.59075951576233,5.58878755569458, 1.0736268457223355
6,28.0,206.58247327804565,5.560896396636963, 1.079015198588035
