epoch,mean dice,l1_dice,l1 dice
425,0.7058097124099731,0.4535517990589142,0.2012938857078552
430,0.7597144246101379,0.5219670534133911,0.2842196822166443
435,0.7651793360710144,0.5034069418907166,0.2416345775127411
440,0.8116517066955566,0.5035936832427979,0.19553561508655548
445,0.8040319681167603,0.5150438547134399,0.22605569660663605
450,0.6548417806625366,0.3906087875366211,0.12637582421302795
455,0.736007571220398,0.5362910032272339,0.3365744650363922
460,0.7833914756774902,0.5085590481758118,0.2337266653776169
465,0.7802249193191528,0.4667851328849793,0.15334537625312805
470,0.8057051301002502,0.5188888907432556,0.2320726364850998
475,0.7269285321235657,0.411873459815979,0.09681840240955353
480,0.724664568901062,0.5024244785308838,0.2801843881607056
485,0.7930466532707214,0.5118001699447632,0.2305536717176437
490,0.7694848775863647,0.481086790561676,0.19268867373466486
495,0.8199435472488403,0.5127554535865784,0.2055674046278
500,0.8077973127365112,0.4652557373046875,0.12271413207054138
