Time(s)	CPU(%) GPU(%) LGPU(%)
0s	1.4	0	0
1s	1.3	0	0
2s	2.5	0	0
4s	4.3	0	0
5s	5.1	0	0
6s	0.1	1	0
8s	0.6	1	0
9s	6.6	8	0
10s	19.3	13	0
12s	22.0	54	0
13s	22.0	57	0
14s	21.2	54	0
16s	9.6	52	0
18s	11.8	50	0
19s	10.2	57	0
21s	7.5	56	0
22s	7.0	56	0
24s	9.3	56	0
26s	9.5	57	0
27s	11.3	57	0
29s	10.2	57	0
30s	11.6	57	0
32s	8.7	53	0
34s	8.7	55	0
35s	9.0	56	0
37s	8.9	51	0
38s	9.5	57	0
40s	9.5	57	0
41s	10.8	57	0
43s	10.3	56	0
44s	9.3	57	0
46s	10.3	57	0
47s	9.3	57	0
49s	10.7	57	0
51s	9.2	57	0
52s	6.0	57	0
54s	10.5	57	0
55s	12.2	57	0
57s	9.4	57	0
58s	10.9	57	0
60s	9.9	57	0
62s	10.2	57	0
63s	10.6	57	0
65s	8.4	56	0
66s	8.4	56	0
68s	7.7	55	0
69s	9.0	53	0
71s	8.2	55	0
72s	10.5	56	0
74s	7.3	56	0
76s	8.7	56	0
77s	8.9	54	0
79s	8.4	52	0
80s	10.2	57	0
81s	9.9	57	0
83s	11.7	57	0
84s	9.0	56	0
86s	10.7	37	0
88s	9.8	57	0
90s	9.6	57	0
91s	9.0	56	0
93s	8.7	57	0
94s	9.8	57	0
96s	9.8	57	0
98s	11.2	56	0
100s	10.3	56	0
101s	10.2	57	0
103s	11.8	55	0
105s	8.7	53	0
107s	8.8	52	0
108s	9.7	52	0
110s	9.5	53	0
111s	8.4	57	0
113s	9.7	57	0
114s	12.5	56	0
115s	10.6	57	0
117s	10.8	57	0
119s	9.5	56	0
120s	7.7	56	0
122s	8.1	56	0
123s	9.4	56	0
125s	9.6	53	0
126s	9.8	57	0
128s	10.4	57	0
129s	9.4	57	0
131s	10.8	57	0
132s	10.1	57	0
134s	9.0	57	0
136s	12.0	56	0
137s	11.2	57	0
139s	9.5	57	0
140s	11.6	57	0
142s	9.9	57	0
143s	10.0	57	0
145s	9.1	57	0
147s	12.1	57	0
148s	9.6	56	0
150s	7.4	56	0
151s	7.1	56	0
153s	8.2	56	0
154s	8.7	52	0
156s	9.0	53	0
157s	9.7	57	0
159s	9.4	57	0
160s	10.8	57	0
162s	11.7	57	0
164s	9.1	57	0
165s	10.4	57	0
167s	10.7	56	0
168s	9.2	56	0
170s	7.2	56	0
171s	9.7	55	0
173s	8.5	54	0
174s	9.4	57	0
175s	10.1	57	0
177s	8.9	57	0
178s	10.8	56	0
180s	8.5	55	0
181s	8.7	53	0
183s	9.3	57	0
184s	10.2	57	0
185s	10.9	57	0
187s	10.3	57	0
189s	10.3	57	0
190s	10.4	57	0
192s	11.0	57	0
193s	11.1	57	0
195s	9.9	57	0
197s	7.9	56	0
198s	10.2	55	0
200s	10.2	55	0
201s	9.7	52	0
203s	11.0	56	0
204s	9.0	57	0
206s	9.7	57	0
207s	10.6	56	0
209s	11.1	56	0
210s	8.7	53	0
212s	10.2	57	0
213s	10.5	57	0
214s	10.4	56	0
216s	7.7	55	0
217s	8.4	54	0
219s	8.6	57	0
220s	8.9	57	0
221s	10.5	56	0
223s	9.5	56	0
224s	8.3	55	0
226s	8.9	57	0
227s	10.6	57	0
228s	8.6	55	0
230s	11.7	57	0
231s	9.6	57	0
233s	13.0	57	0
234s	10.0	57	0
236s	9.1	57	0
237s	11.0	56	0
239s	9.9	52	0
240s	10.2	55	0
242s	9.9	57	0
243s	10.8	57	0
245s	12.4	57	0
246s	11.0	57	0
248s	10.3	56	0
249s	8.8	56	0
251s	9.9	57	0
252s	8.7	56	0
254s	9.9	56	0
255s	8.3	55	0
257s	9.1	56	0
259s	8.5	57	0
260s	9.7	56	0
262s	9.1	54	0
263s	8.3	53	0
265s	11.0	41	0
266s	8.8	57	0
268s	10.4	56	0
269s	12.3	57	0
271s	10.1	56	0
272s	11.8	57	0
274s	11.5	57	0
275s	11.6	56	0
277s	10.1	57	0
279s	9.9	57	0
280s	10.8	57	0
282s	11.5	57	0
283s	11.5	57	0
285s	9.0	57	0
287s	10.7	57	0
288s	11.3	56	0
290s	10.8	56	0
291s	8.5	53	0
292s	7.4	57	0
294s	8.9	57	0
295s	11.7	56	0
297s	7.9	53	0
298s	8.2	52	0
299s	9.6	56	0
301s	7.7	56	0
303s	9.4	57	0
304s	10.4	57	0
306s	9.4	57	0
307s	10.4	54	0
309s	9.5	51	0
310s	8.8	54	0
312s	9.3	54	0
313s	8.2	50	0
315s	9.0	55	0
317s	8.6	57	0
319s	11.5	57	0
320s	8.8	55	0
322s	9.6	55	0
324s	9.2	55	0
325s	9.4	53	0
327s	9.6	57	0
328s	9.1	57	0
330s	10.6	57	0
331s	9.1	57	0
333s	10.3	57	0
335s	11.9	57	0
336s	9.8	56	0
338s	9.5	55	0
339s	8.6	55	0
341s	9.3	53	0
342s	9.9	57	0
344s	9.8	57	0
345s	10.9	56	0
347s	8.4	54	0
349s	9.1	53	0
350s	9.4	57	0
352s	10.3	53	0
353s	10.3	57	0
355s	8.6	57	0
356s	9.2	57	0
358s	10.2	57	0
359s	9.1	57	0
361s	9.1	57	0
363s	9.1	57	0
364s	9.8	57	0
366s	9.9	57	0
367s	11.0	57	0
369s	2.8	38	0
370s	9.6	55	0
372s	7.7	56	0
373s	8.7	56	0
375s	8.9	53	0
376s	9.9	53	0
378s	9.7	57	0
379s	10.8	57	0
381s	11.4	57	0
382s	9.2	56	0
383s	8.3	56	0
385s	9.0	56	0
387s	9.8	56	0
388s	7.4	56	0
390s	8.8	52	0
391s	9.0	57	0
392s	9.1	57	0
394s	10.8	57	0
395s	8.1	52	0
397s	9.5	57	0
398s	10.2	57	0
399s	11.5	57	0
401s	10.3	57	0
403s	9.3	56	0
404s	9.5	56	0
405s	8.8	54	0
407s	9.9	56	0
408s	10.9	57	0
410s	9.9	57	0
411s	11.9	57	0
413s	9.9	57	0
414s	8.5	57	0
416s	9.2	57	0
417s	9.5	56	0
419s	10.6	56	0
420s	8.2	56	0
422s	8.3	55	0
423s	8.3	53	0
425s	8.0	56	0
426s	10.1	56	0
428s	10.1	57	0
430s	11.0	57	0
432s	10.0	55	0
434s	9.4	56	0
435s	10.1	56	0
437s	9.4	57	0
439s	9.8	11	0
440s	9.9	55	0
442s	10.2	57	0
444s	10.1	57	0
445s	11.0	57	0
447s	9.2	57	0
449s	9.7	56	0
451s	9.4	55	0
452s	8.0	54	0
454s	8.6	53	0
455s	10.4	55	0
457s	9.7	57	0
458s	8.9	56	0
459s	10.8	56	0
461s	9.1	55	0
462s	7.8	54	0
464s	9.5	53	0
465s	8.5	57	0
467s	11.6	57	0
468s	9.6	56	0
470s	8.9	56	0
471s	10.4	57	0
473s	7.8	56	0
474s	9.2	56	0
476s	9.1	55	0
477s	10.1	54	0
479s	9.2	55	0
480s	10.7	57	0
482s	10.3	57	0
483s	11.4	56	0
485s	7.8	55	0
486s	9.0	54	0
487s	8.7	57	0
489s	10.0	57	0
490s	10.9	56	0
492s	7.6	56	0
493s	9.4	56	0
495s	10.6	57	0
496s	9.6	56	0
498s	8.6	55	0
499s	7.4	57	0
501s	8.5	57	0
502s	10.7	56	0
503s	7.5	56	0
505s	9.9	57	0
507s	11.9	57	0
508s	9.2	56	0
510s	9.9	57	0
511s	9.3	19	0
513s	10.0	57	0
514s	7.3	56	0
516s	7.1	56	0
518s	7.1	57	0
519s	11.4	56	0
521s	8.3	54	0
522s	8.4	54	0
524s	10.0	54	0
525s	8.1	52	0
527s	9.4	57	0
528s	9.6	57	0
