sample_path,sample_size,RandBalancedCrop_time,RandFlip_time,Cast_time,RandomBrightnessAugmentation_time,GaussianNoise_time
"/data/case_00116_x.npy","(1, 135, 286, 286)",0.2174396514892578,0.016806364059448242,0.003579854965209961,0.013172388076782227,0.07928657531738281
"/data/case_00115_x.npy","(1, 128, 300, 300)",0.17871975898742676,0.017881393432617188,0.0046656131744384766,0.018436193466186523,0.08722758293151855
"/data/case_00009_x.npy","(1, 144, 345, 345)",0.23580288887023926,0.02118062973022461,0.00436711311340332,0.01461029052734375,0.07198858261108398
"/data/case_00038_x.npy","(1, 128, 332, 332)",0.2872772216796875,0.01642775535583496,0.0030825138092041016,0.012842893600463867,0.08967018127441406
"/data/case_00132_x.npy","(1, 166, 304, 304)",0.2241990566253662,0.016865968704223633,0.003225088119506836,0.014689445495605469,0.07773923873901367
"/data/case_00101_x.npy","(1, 160, 329, 329)",0.26542115211486816,0.016672134399414062,0.003066539764404297,0.014035940170288086,0.07491731643676758
"/data/case_00007_x.npy","(1, 128, 400, 400)",0.3346853256225586,0.014989137649536133,0.0022592544555664062,0.013393878936767578,0.070892333984375
"/data/case_00077_x.npy","(1, 275, 300, 300)",0.3938713073730469,0.013698577880859375,0.002068042755126953,0.012756586074829102,0.07242321968078613
"/data/case_00002_x.npy","(1, 163, 400, 400)",0.3769381046295166,0.018756389617919922,0.0021924972534179688,0.013822793960571289,0.07292604446411133
"/data/case_00168_x.npy","(1, 259, 330, 330)",0.44206738471984863,0.016884565353393555,0.003050088882446289,0.01313018798828125,0.07189416885375977
"/data/case_00089_x.npy","(1, 171, 387, 387)",0.34662604331970215,0.0171966552734375,0.0027379989624023438,0.015120744705200195,0.07275629043579102
"/data/case_00059_x.npy","(1, 230, 336, 336)",0.32639479637145996,0.017087459564208984,0.0021457672119140625,0.012383699417114258,0.07489466667175293
"/data/case_00083_x.npy","(1, 176, 416, 416)",0.4012753963470459,0.016950368881225586,0.002735614776611328,0.014063596725463867,0.07541251182556152
"/data/case_00032_x.npy","(1, 295, 332, 332)",0.4277489185333252,0.018294095993041992,0.002523183822631836,0.013787508010864258,0.07528448104858398
"/data/case_00172_x.npy","(1, 284, 326, 326)",0.39637136459350586,0.016843080520629883,0.0026853084564208984,0.012736797332763672,0.0715482234954834
"/data/case_00208_x.npy","(1, 278, 377, 377)",0.5420200824737549,0.02590155601501465,0.004838228225708008,0.018983125686645508,0.0854787826538086
"/data/case_00152_x.npy","(1, 128, 308, 308)",0.16664671897888184,0.015737295150756836,0.0032749176025390625,0.014111995697021484,0.08477950096130371
"/data/case_00166_x.npy","(1, 193, 304, 304)",0.2443675994873047,0.023973464965820312,0.003984928131103516,0.014395475387573242,0.07528066635131836
"/data/case_00139_x.npy","(1, 321, 341, 341)",0.5098798274993896,0.022396564483642578,0.0030677318572998047,0.012952089309692383,0.08242034912109375
"/data/case_00068_x.npy","(1, 195, 300, 300)",0.21825003623962402,0.012641429901123047,0.0019140243530273438,0.008330106735229492,0.0720987319946289
"/data/case_00062_x.npy","(1, 268, 416, 416)",0.6063191890716553,0.026376724243164062,0.00499272346496582,0.018947839736938477,0.08396100997924805
"/data/case_00105_x.npy","(1, 286, 380, 380)",0.6374826431274414,0.02758002281188965,0.005346775054931641,0.015481233596801758,0.0841822624206543
"/data/case_00159_x.npy","(1, 224, 326, 326)",0.3045156002044678,0.019443273544311523,0.0030393600463867188,0.02243518829345703,0.08277773857116699
"/data/case_00131_x.npy","(1, 298, 285, 285)",0.3818190097808838,0.02008533477783203,0.0027856826782226562,0.015070676803588867,0.07077431678771973
"/data/case_00089_x.npy","(1, 171, 387, 387)",0.41497206687927246,0.021301746368408203,0.004128932952880859,0.026058673858642578,0.10018157958984375
"/data/case_00121_x.npy","(1, 246, 292, 292)",0.299605131149292,0.03307795524597168,0.004026651382446289,0.026194095611572266,0.11571907997131348
"/data/case_00058_x.npy","(1, 321, 405, 405)",0.7119991779327393,0.023983240127563477,0.0043561458587646484,0.01303553581237793,0.0897073745727539
"/data/case_00075_x.npy","(1, 281, 301, 301)",0.33925390243530273,0.030299663543701172,0.0027313232421875,0.016740083694458008,0.10179996490478516
"/data/case_00154_x.npy","(1, 146, 400, 400)",0.3192176818847656,0.020624399185180664,0.002273082733154297,0.01654982566833496,0.07977080345153809
